ï»¿Doc_ID Req_spec;Title Req_spec;Subcat_id;Subcat name;Doc_ID Requirement;Title Requirement;Description Requirement
SDK-INV;Inventory;MAP_VIEW_INV;Map view features;INV100;Map filter on inventory attributes;
SDK-INV;Inventory;MAP_VIEW_INV;Map view features;INV101;Counter of devices with the same inventory attributes;
SDK;SDK related;GEN;General;SDK7;Live notifications for all applications;
SDK-EA;Events and alarms analysis;NAV_PAN_EAA;Navigation panel;EAA41;Auto-solve events;
SDK-EA;Events and alarms analysis;TAB_VIEW_EAA;Table view features;EAA42;Filter cleared and acked events;
SDK-EA;Events and alarms analysis;COUN_TAB;Counter table;EAA43;Dedicated menu with a table view;
SDK-EA;Events and alarms analysis;COUN_TAB;Counter table;EAA44;Active events and maintenance state alarms for the selected zone;
SDK-EA;Events and alarms analysis;COUN_TAB;Counter table;EAA45;Filter per alarm severity;
SDK-CONF;Configuration;COM_PAN_SCM;Configuration panel;SCM26;Memory optimization;
SDK-NM;Network Monitor;TAB_VIEW_NBNM;Table view features;NBNW32;Search per MAC;
SDK-REP;Reports;SCHED_MGR;Scheduled reports manager;R49;Visualisation in a tabular view of the last running time and the report status (active or stopped);
SDK-REP;Reports;SCHED_MGR;Scheduled reports manager;R50;Multiselection;
SDK-NM;Network Monitor;TAB_VIEW_BBNM;Table view features;BM37;Table view content;
;;;;;;
